LaPlace,Chio,Gauss
11221351, 9920, 1909
11211122, 8500, 1654
11192753, 8300, 1630
11403232, 9820, 2105
11079094, 8605, 1630
11267145, 8440, 1610
11104034, 8420, 1645
11058829, 8425, 1615
11179218, 8919, 1825
11205142, 8455, 1535
11319949, 8480, 1570
11298210, 8450, 1645
11311170, 8779, 1620
11188292, 8640, 1595
11187037, 8449, 1585
11050164, 8365, 1525
11037035, 8455, 1554
11709332, 10135, 2015
11435162, 8865, 1725
11189612, 8555, 1680
11022086, 8220, 1625
11113384, 9265, 1936
11177122, 8400, 1625
11186212, 8325, 1590
11160099, 8244, 1550
11243636, 8394, 1625
11269900, 10625, 2025
11171607, 9974, 2055
11118494, 8295, 1604
11027425, 8650, 1600
11132213, 8565, 1595
11059910, 8514, 1540
11381358, 10070, 1930
11477506, 8540, 1655
11405908, 8580, 1660
11314825, 11380, 2330
11371428, 9795, 2015
11277080, 8760, 1715
11218456, 8395, 1580
11133438, 8475, 1645
11135428, 8415, 1545
11022430, 8435, 1565
11094104, 8210, 1560
11333530, 8405, 1630
11277115, 9050, 1765
11093659, 8855, 1595
11134354, 8369, 1596
11048940, 8449, 1590
11128833, 8610, 1625
11160392, 8545, 1620
11203572, 8455, 1570
11161668, 8569, 1590
11058265, 8320, 1590
11222336, 8355, 1635
11244532, 8624, 1750
11065244, 8515, 1620
11072125, 8284, 1620
11181567, 8500, 1710
11257575, 8795, 1555
11068965, 8530, 1600
11063719, 8545, 1645
11259752, 8484, 1626
11021075, 8355, 1690
11106959, 8240, 1620
11150338, 8600, 1554
11035675, 8414, 1550
11064564, 8325, 1665
11064324, 8535, 1715
11068075, 8594, 1615
11251461, 8535, 1675
11282195, 8855, 1730
11292760, 8565, 1685
11149458, 8305, 1630
11206442, 8350, 1570
11139223, 8555, 1620
11034379, 8385, 1595
11023041, 8149, 1555
11022735, 8445, 1575
11038680, 8290, 1575
11189556, 9040, 1705
11090974, 8415, 1590
11282870, 8505, 1685
11206622, 8460, 1690
11215011, 8564, 1544
11181292, 8275, 1595
11365883, 8515, 1600
11163077, 8380, 1575
11056655, 8230, 1660
11082489, 9570, 2165
11362493, 10129, 2100
11340114, 8575, 1595
11273951, 8550, 1815
11222601, 8290, 1545
11043850, 8410, 1615
11175422, 8235, 1560
11039905, 8254, 1580
11187587, 8395, 1650
11174127, 8315, 1800
11157539, 8285, 1630
11086799, 8684, 1555
11021445, 8210, 1590
11059700, 8040, 1535
11188568, 8365, 1610
11229046, 8540, 1655
11086114, 8305, 1565
11045855, 8200, 1565
11200663, 8460, 1550
11068244, 8645, 1605
11056370, 8475, 1600
11160288, 8715, 1715
11193696, 8335, 1595
11042950, 8400, 1590
11018695, 8335, 1530
11017921, 8210, 1620
11015000, 8335, 1580
11179937, 8435, 1605
11251250, 8645, 1575
11065075, 8420, 1620
11100693, 8500, 1780
11099458, 8445, 1580
11030191, 8199, 1585
11457957, 8664, 1664
11323329, 8380, 1595
11190902, 8500, 1585
11155984, 8430, 1625
11086829, 8390, 1626
11177222, 8550, 1660
11172153, 8394, 1600
11249481, 8470, 1630
11156653, 8295, 1624
11023305, 8305, 1580
11217621, 8500, 1580
11195938, 8439, 1610
11346728, 8690, 1750
11187712, 8489, 1600
11204517, 8560, 1566
11279600, 8480, 1685
11083489, 8255, 1610
11076209, 8630, 1610
10990836, 8470, 1615
11224626, 8405, 1590
11210842, 8419, 1604
11102863, 11429, 2625
11250721, 9575, 2190
11164627, 8605, 1570
11354239, 8725, 1550
11222252, 8270, 1670
11218231, 8410, 1635
11086709, 8554, 1590
11124953, 9955, 2145
11048765, 8420, 1625
11170098, 8470, 1650
11220236, 8615, 1540
11056365, 8355, 1615
11095635, 8710, 1620
11055574, 8264, 1600
11187132, 8285, 1544
11194787, 8475, 1580
11202402, 8575, 1620
11173682, 8489, 1584
11180447, 8630, 1815
11240896, 8870, 1745
11212436, 8485, 1580
11121908, 8555, 1630
11106773, 8635, 1520
11052250, 8440, 1615
11259386, 8275, 1640
11173722, 8375, 1615
11062995, 8469, 1594
11013151, 8405, 1700
11073154, 8440, 1655
11270080, 8430, 1565
11054080, 8475, 1615
11083215, 8464, 1570
11141203, 8204, 1590
11238021, 8405, 1580
11061310, 8540, 1585
11063100, 8570, 1540
11101194, 8734, 1746
11723741, 8895, 1676
11187273, 8515, 1640
11112214, 8625, 1636
11143273, 9160, 1810
11075375, 8524, 1636
11197877, 12945, 1765
11256926, 8425, 1745
11061954, 8350, 1580
11134093, 8330, 1755
11108083, 8385, 1605
11179378, 8330, 1560
11069654, 8455, 1665
11144209, 8124, 1690
11115628, 8810, 1605
11065105, 8494, 1584
11152482, 8495, 1585
11205132, 8885, 1950
11173667, 14225, 4270
11157042, 9795, 2085
11137154, 9360, 1844
11127233, 8419, 1580
11193442, 8365, 1746
11209901, 8350, 1675
11016476, 8220, 1550
11161622, 8560, 1540
11206356, 8455, 1565
11241691, 9100, 2015
11041465, 8395, 1540
11035630, 8350, 1580
11021900, 8280, 1570
11293570, 8315, 1595
11265581, 8450, 1635
11139693, 8565, 1730
10999671, 8345, 1570
11050736, 8466, 1599
11258370, 8495, 1795
11071539, 8270, 1594
11144148, 8329, 1524
11063495, 8115, 1580
11253301, 8465, 1700
11197692, 8490, 1620
11121953, 8355, 1705
11139443, 8630, 1610
11071465, 8166, 1725
11294775, 8450, 1715
11227786, 8789, 1635
11155143, 8485, 1610
11177282, 8330, 1545
11127683, 8655, 1665
11173203, 8490, 1610
11168298, 8494, 1645
11204966, 8395, 1515
11080379, 8410, 1720
11124699, 8234, 1470
11154503, 8335, 1565
11136033, 8329, 1536
11146263, 8565, 1625
11192508, 8355, 1565
11210856, 8525, 1560
11071165, 8485, 1595
11170593, 8480, 1516
11146963, 8565, 1704
11262225, 8455, 1650
11072930, 8519, 1604
11042135, 8545, 1665
11069249, 8300, 1525
11230911, 8555, 1600
11224161, 8325, 1650
11032961, 8384, 1610
11043490, 8245, 1564
11177032, 10060, 2315
11335889, 9990, 2385
11218857, 9114, 1660
11052055, 8450, 1570
11218996, 8420, 1535
11155223, 8595, 1575
11125773, 8255, 1535
11333568, 8675, 1910
11167393, 8470, 1615
11218687, 8650, 1650
11031685, 8495, 1550
11091184, 9000, 1515
11055055, 9165, 1915
11217837, 8369, 1570
11042905, 8470, 1565
11199452, 10419, 2760
11176353, 9495, 2290
11124823, 9875, 2180
11294680, 9754, 2490
12257510, 10145, 2415
11160374, 8635, 1686
11045205, 8664, 1734
11047030, 8399, 1580
11313724, 8825, 1660
11341279, 8715, 1684
11176157, 8535, 1685
11176632, 8324, 1640
11211532, 8559, 1716
11099094, 8625, 1570
11039225, 8274, 1634
11069564, 8325, 1620
11162873, 8379, 1610
11197592, 8405, 1705
11120033, 8560, 1715
11031745, 8580, 1610
11014236, 8295, 1620
11280045, 8335, 1600
11212841, 8460, 1625
11247081, 8520, 1615
11189317, 8595, 1625
11068675, 8459, 1630
11003851, 8505, 1550
11065755, 9000, 1810
11717041, 9655, 2204
11257911, 9169, 1720
11203867, 8740, 1800
11055250, 8750, 1600
11029711, 8579, 1735
11230246, 8510, 1565
11207092, 9099, 1710
11208242, 8455, 1660
11112364, 8445, 1700
11274245, 8580, 1625
11117349, 9400, 2185
11234121, 14034, 3845
11115614, 9714, 1940
11075324, 8775, 1680
11134468, 8540, 1550
11252625, 8435, 1505
11325393, 8280, 1595
11120533, 8650, 1645
11053395, 8345, 1555
11168247, 8255, 1585
11083339, 8250, 1615
11124144, 8455, 1555
11022230, 8249, 1570
11243866, 8485, 1586
11046150, 8335, 1570
11035956, 8590, 1616
11171737, 8425, 1580
11203117, 8425, 1565
11186692, 9680, 1760
11069589, 8379, 1680
11359128, 8875, 1650
11045680, 8365, 1610
11276531, 8435, 1655
11106284, 8550, 1606
11144668, 8299, 1574
11166577, 8680, 1600
11114528, 8314, 1600
11097619, 8480, 1595
11018235, 8610, 1670
11184957, 8780, 1595
11092110, 8390, 1550
11280595, 8620, 1655
11013421, 8085, 1610
11014696, 8435, 1580
11077615, 8394, 1535
11111438, 8420, 1575
11300330, 8400, 1745
11056460, 8655, 1605
11033800, 8435, 1546
11071964, 8425, 1565
11314539, 8519, 1584
11206317, 8310, 1735
11305255, 8435, 1590
11021130, 8470, 1630
11095648, 8255, 1610
11081214, 8510, 1590
11237466, 8260, 1740
11203471, 8790, 1650
11065270, 8310, 1500
11034200, 8364, 1600
11200072, 8720, 1669
11253250, 8600, 1740
10995157, 8255, 1605
11126708, 8410, 1570
11068524, 9470, 2315
11357268, 9585, 2380
11112049, 10210, 2590
11177267, 11065, 2215
11084649, 9585, 2045
11001376, 8485, 1600
11068100, 8440, 1605
11114174, 8359, 1630
11139588, 8510, 1615
11149468, 8410, 1655
11063640, 8310, 1515
11268946, 8244, 1595
11242800, 8455, 1595
11073285, 8355, 1590
11043900, 8510, 1575
11042900, 8300, 1666
11150183, 8325, 1630
11033635, 8550, 1615
11090359, 8535, 1566
11253745, 8249, 1575
11100704, 8460, 1604
11158478, 8565, 1680
11089429, 8500, 1575
11205207, 8455, 1580
11351239, 8485, 1605
11202072, 8490, 1595
11296455, 8535, 1585
11241781, 8625, 1745
11267016, 8560, 1635
11029920, 8675, 1545
11121509, 8560, 1590
11390768, 8550, 1740
11249951, 8730, 1640
11156388, 8320, 1595
11028500, 8475, 1585
11033085, 8280, 1605
11152237, 8205, 1615
11296585, 8535, 1570
11057695, 8500, 1574
11048535, 8325, 1570
11136943, 8470, 1660
11273825, 8280, 1660
11032490, 8335, 1640
11016031, 8439, 1585
11076859, 8330, 1575
11287705, 8245, 1760
11190328, 8370, 1670
11065939, 8625, 1600
11055189, 8395, 1555
11105579, 8280, 1555
11266306, 8330, 1570
11067705, 8445, 1535
11045265, 8455, 1595
11019510, 8370, 1635
11253256, 10745, 3430
11294545, 9454, 2130
11048780, 8880, 1725
11044240, 8599, 1585
11137803, 8390, 1736
11291290, 8510, 1726
11053125, 8526, 1690
11021881, 8569, 1614
11054560, 8394, 1565
11373733, 8410, 1800
11104524, 8514, 1529
11059330, 8225, 1580
11082644, 8605, 1580
11077045, 8474, 1604
11140478, 8470, 1660
11191782, 8294, 1605
11038745, 8189, 1560
11074799, 8510, 1585
11199322, 8465, 1620
11277365, 9360, 1960
11080414, 8450, 1864
11077384, 8305, 1580
11038006, 8610, 1590
11249881, 8650, 1645
11093874, 8475, 1645
11029120, 8385, 1630
11061526, 8335, 1594
11239896, 8354, 1710
11088529, 8220, 1705
11036975, 8370, 1540
11073464, 8400, 1570
11297275, 8365, 1620
11060505, 8279, 1540
11022956, 8275, 1580
11003466, 8100, 1590
11041660, 8485, 1530
11052864, 8375, 1595
11118854, 8445, 1624
11075794, 8220, 1505
11063899, 8460, 1615
11241706, 8410, 1625
11133689, 8494, 1594
11149718, 8304, 1534
11174162, 8330, 1565
11254891, 8414, 1595
11056139, 8220, 1695
11133523, 13504, 1700
11178072, 8569, 1560
11162463, 8375, 1580
11219987, 8355, 1550
11186812, 8489, 1590
11272970, 8330, 1600
11078205, 8495, 1620
11092854, 8645, 1780
11186357, 13110, 3790
11277475, 9910, 1985
11070595, 8800, 1765
11183042, 8440, 1550
11162103, 8529, 1590
11154808, 9785, 2250
11154908, 8794, 1586
11032945, 8410, 1570
11264935, 8550, 1570
11152733, 9745, 2620
11353358, 10085, 1945
11159763, 9745, 2830
11297245, 8615, 1600
11166188, 8510, 1705
11046380, 8045, 1565
11086394, 8410, 1575
11082670, 8470, 1580
11057810, 8615, 1570
11030305, 8230, 1630
11016331, 8179, 1570
11176808, 8410, 1610
11228351, 8460, 1700
11180552, 8545, 1550
11047894, 8100, 1550
11056621, 8484, 1650
11009895, 8270, 1615
11039490, 8500, 1610
11004046, 8670, 1705
11045075, 7955, 1735
11103649, 8585, 1595
11208602, 8410, 1644
11165903, 8515, 1560
