Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
243, 23480, 2190, 840
244, 23500, 2130, 890
245, 23299, 2190, 864
246, 23544, 2180, 830
247, 23499, 2180, 885
248, 23284, 2210, 840
249, 23484, 2180, 830
250, 23475, 2125, 890
251, 23194, 2190, 834
252, 23524, 2175, 805
253, 23404, 2165, 875
254, 23275, 2205, 860
255, 23399, 2180, 855
256, 23530, 2130, 880
257, 23204, 2214, 865
258, 23519, 2275, 885
259, 23500, 2180, 865
260, 23740, 2240, 840
261, 23314, 2194, 816
262, 23094, 2190, 805
263, 23239, 2180, 805
264, 23629, 2120, 870
265, 23424, 2105, 885
266, 23480, 2210, 850
267, 23429, 2164, 890
268, 23449, 2195, 820
269, 23524, 2130, 825
270, 23064, 2100, 810
271, 23525, 2330, 845
272, 23055, 2175, 810
273, 23795, 2184, 820
274, 23214, 2224, 825
275, 23154, 2110, 820
276, 23569, 2210, 820
277, 23374, 2155, 855
278, 23655, 2225, 860
279, 23480, 2110, 824
280, 23439, 2125, 825
281, 23789, 2250, 825
282, 23409, 2140, 850
283, 23449, 2115, 880
284, 23670, 2140, 835
285, 23385, 2175, 850
286, 23664, 2210, 865
287, 23339, 2145, 830
288, 23639, 2160, 880
289, 23425, 2175, 870
290, 23770, 2175, 890
291, 23315, 2100, 804
292, 23544, 2154, 835
293, 23594, 2170, 865
294, 23579, 2125, 820
295, 23394, 2210, 815
296, 23880, 2225, 825
297, 23365, 2149, 850
298, 23569, 2089, 895
299, 23819, 2145, 815
300, 23319, 2190, 850
301, 23894, 2225, 815
302, 23425, 2130, 830
303, 23595, 2144, 900
304, 23504, 2175, 870
305, 23634, 2310, 885
306, 23289, 2130, 815
307, 23355, 2150, 825
308, 23505, 2185, 855
309, 23405, 2120, 830
310, 23455, 2115, 820
311, 23884, 2240, 810
312, 23389, 2150, 825
313, 23349, 2100, 885
314, 23665, 2180, 840
315, 23415, 2180, 836
316, 23785, 2260, 835
317, 23429, 2140, 825
