LaPlace,Chio,Gauss
1492400, 6755, 1305
1454346, 6290, 1395
1409536, 6070, 1245
1403701, 5950, 1200
1396001, 5980, 1295
1409007, 6120, 1230
1398067, 6020, 1206
1434196, 6035, 1249
1401936, 6139, 1170
1413081, 5955, 1160
1405302, 5825, 1230
1403537, 5935, 1190
1426981, 5960, 1200
1406477, 6150, 1175
1421061, 6185, 1250
1415281, 5959, 1205
1420656, 5925, 1225
1463350, 5955, 1350
1413501, 6095, 1265
1402462, 6060, 1250
1399191, 5979, 1190
1403326, 5895, 1200
1408646, 5885, 1210
1407787, 6035, 1250
1422581, 5905, 1175
1407417, 6124, 1240
1439031, 6035, 1185
1406667, 6095, 1170
1419456, 6070, 1215
1409066, 6045, 1170
1421301, 6190, 1190
1407831, 6075, 1195
1420501, 6024, 1274
1401221, 5960, 1180
1412271, 7230, 1365
1407796, 6450, 1380
1409982, 7630, 1365
1435051, 6915, 1540
1406251, 6095, 1180
1410396, 6125, 1205
1426496, 5995, 1190
1539874, 7035, 1330
1422271, 6884, 1600
1410141, 6325, 1420
1400041, 6380, 1370
2054853, 7830, 1975
1415496, 8330, 2070
1461966, 8335, 1940
1388152, 9740, 2884
1435716, 8855, 2014
1516469, 7455, 1520
1420181, 6155, 1260
1404382, 6015, 1220
1438235, 6015, 1270
1425736, 5995, 1235
1427071, 6190, 1215
1409571, 6210, 1205
1399182, 6005, 1195
1407821, 5905, 1195
1396737, 6070, 1270
1411306, 6095, 1180
1414252, 6035, 1190
1443996, 6170, 1254
1404391, 5895, 1215
1408701, 6170, 1205
1409812, 5904, 1190
1397676, 6075, 1160
1406301, 5985, 1230
1393431, 6015, 1205
1412522, 6165, 1215
1403556, 6140, 1200
1410491, 5930, 1155
1411836, 6099, 1150
1423181, 6015, 1210
1419341, 6155, 1185
1409771, 6060, 1235
1421395, 5964, 1165
1403111, 6100, 1190
1413766, 5840, 1125
1396432, 5990, 1145
1469870, 6345, 1275
1403001, 6095, 1225
1403502, 6020, 1140
1403656, 6189, 1175
1406362, 5969, 1145
1404617, 6114, 1170
1474285, 6245, 1395
1427486, 5960, 1250
1414026, 13900, 1295
1393931, 5990, 1185
1400546, 5935, 1205
1404137, 6115, 1215
1404982, 6169, 1204
1397017, 5909, 1180
1417246, 6270, 1235
1412272, 6010, 1236
1424711, 5885, 1215
1417221, 6015, 1200
1396271, 5945, 1180
1402756, 6030, 1160
1404041, 6155, 1195
1421106, 6075, 1165
1413572, 6205, 1195
1413246, 6015, 1220
1393896, 6125, 1190
1416971, 5985, 1210
1406796, 6034, 1200
1415661, 5960, 1170
1397397, 6090, 1245
1395812, 6055, 1130
1404956, 6115, 1305
1403586, 6020, 1200
1408641, 6155, 1205
1398741, 5945, 1140
1409191, 5975, 1225
1415406, 6045, 1200
1420786, 12805, 1300
1408426, 6040, 1260
1394806, 5955, 1230
1425121, 5884, 1186
1398567, 5959, 1275
1417841, 6025, 1240
1431876, 5985, 1230
1402437, 6150, 1160
1417026, 6145, 1180
1412226, 5820, 1210
1423686, 6060, 1265
1412761, 5975, 1260
1401627, 5870, 1264
1406856, 5995, 1180
1409306, 6145, 1210
1400697, 5870, 1165
1404582, 5935, 1165
1403161, 6110, 1150
1413696, 6020, 1145
1407896, 5834, 1160
1412986, 6110, 1260
1398996, 6035, 1150
1398017, 6130, 1255
1425406, 6000, 1170
1409792, 5920, 1120
1411656, 6005, 1190
1393516, 6054, 1210
1405741, 6079, 1145
1427481, 6125, 1175
1395282, 6150, 1200
1420186, 6000, 1185
1416106, 6025, 1179
1401027, 5934, 1184
1410621, 6005, 1200
1422021, 6004, 1164
1403331, 5970, 1170
1415986, 5845, 1210
1388787, 5905, 1170
1418771, 5920, 1235
1430825, 6036, 1206
1407116, 6115, 1220
1435450, 6035, 1220
1413961, 6000, 1244
1402871, 6045, 1225
