LaPlace,Chio,Gauss
158302, 4250, 1185
83424, 3980, 1195
82939, 3910, 1149
83323, 3970, 1130
83068, 3905, 1010
81918, 3780, 1095
82704, 3804, 1064
82333, 3790, 1130
81463, 3985, 1010
98853, 3955, 1060
82738, 4170, 1030
82468, 3820, 1080
82018, 3880, 1045
82044, 4035, 1065
82328, 4110, 1030
82488, 3840, 1055
82008, 3900, 1105
81993, 4035, 1045
82459, 4075, 1056
82473, 3830, 1055
81928, 3910, 1085
82183, 4045, 1045
82444, 4085, 1055
82443, 3836, 1056
81898, 3895, 1080
82008, 4050, 1045
82633, 4115, 1055
81909, 3805, 1040
81774, 3896, 1080
81943, 4050, 1040
82518, 4085, 1060
81928, 3820, 1040
82064, 3890, 1104
81999, 4045, 1050
82553, 4085, 1050
81903, 3820, 1040
82028, 3940, 1080
81944, 4040, 1046
82514, 4084, 1050
82443, 3825, 1050
81968, 3900, 1085
81983, 4045, 1045
82369, 4085, 1054
82343, 3830, 1045
81878, 3895, 1080
81963, 97478, 1250
82884, 4170, 1110
82589, 3880, 1060
81968, 3900, 1080
82078, 4055, 1040
82428, 4095, 1045
82014, 3835, 1035
81773, 3914, 1074
81943, 4045, 1040
82508, 4100, 1065
82438, 3840, 1050
81994, 3915, 1085
82024, 4050, 1044
82438, 4095, 1060
82043, 3835, 1035
81934, 3915, 1080
81934, 4045, 1045
82474, 4096, 1064
82438, 3835, 1050
81948, 3930, 1115
81994, 4050, 1050
82394, 4094, 1064
82518, 3839, 1060
82028, 3930, 1085
82078, 4045, 1040
82453, 4100, 1060
86079, 3880, 1050
81853, 3920, 1090
81848, 4025, 1045
82549, 4085, 1050
81889, 3825, 1039
81764, 3916, 1084
81988, 4030, 1045
82348, 4090, 1055
81954, 3835, 1040
81959, 3915, 1090
81959, 4035, 1040
82533, 4165, 1080
81988, 3890, 1055
81804, 3964, 1080
81939, 4070, 1050
82418, 4125, 1045
82453, 3850, 1050
81823, 3925, 1085
81953, 4056, 1050
82528, 4125, 1055
81973, 3845, 1045
81958, 3920, 1090
81964, 4050, 1050
82494, 4110, 1050
82018, 3845, 1050
81943, 3915, 1090
81983, 4065, 1050
82523, 4105, 1050
82413, 3854, 1044
81838, 3920, 1080
81938, 4050, 1040
82549, 4105, 1050
82029, 3840, 1050
81863, 3920, 1089
81878, 4060, 1050
82573, 4105, 1050
81943, 3840, 1050
81964, 3920, 1089
81959, 4070, 1045
82323, 4105, 1050
81953, 3845, 1040
81978, 3920, 1085
81974, 4055, 1040
82508, 4089, 1055
81908, 3830, 1040
81863, 3920, 1080
81984, 4055, 1045
111418, 4200, 1100
82518, 3855, 1050
81919, 3920, 1086
81963, 4040, 1045
82328, 4090, 1050
82463, 3840, 1045
81863, 3915, 1085
82058, 4034, 1044
82553, 4090, 1055
82433, 3840, 1050
81768, 3910, 1095
82019, 4040, 1045
82313, 4109, 1050
82438, 3840, 1045
81958, 3915, 1090
82104, 4040, 1050
82294, 4110, 1054
82469, 3835, 1050
81953, 3915, 1085
81973, 4030, 1050
82353, 4105, 1055
82484, 3844, 1050
81943, 3909, 1085
82008, 4035, 1045
82348, 4105, 1055
82529, 3835, 1050
81918, 3914, 1090
82043, 4065, 1045
82318, 4110, 1055
81988, 3820, 1040
81904, 3920, 1085
81974, 4036, 1046
82468, 4110, 1050
81953, 3815, 1045
81958, 3915, 1080
81919, 4025, 1045
82343, 4090, 1054
89418, 3900, 1065
81883, 3905, 1075
82054, 4045, 1045
82308, 4100, 1054
81928, 3820, 1045
81808, 3920, 1080
82048, 4045, 1045
82394, 4125, 1050
