Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
1, 9885, 1285, 985
2, 7975, 956, 834
3, 7320, 850, 824
4, 7125, 710, 805
5, 7135, 765, 785
6, 7185, 765, 780
7, 7210, 730, 785
8, 7150, 670, 780
9, 7150, 730, 780
10, 7244, 740, 784
