Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
1, 68916835, 63774, 9865
2, 68930015, 63944, 9880
3, 68981704, 64829, 10580
4, 68904356, 63203, 9840
5, 70627381, 61658, 9670
6, 74907517, 131982, 11670
7, 68508944, 60853, 9785
8, 68752509, 62574, 9535
9, 69479229, 64794, 10014
10, 73537380, 63894, 9470
11, 71691838, 62024, 9835
12, 72983732, 66704, 10480
13, 67905446, 60719, 9785
14, 67385557, 61964, 9805
15, 89902021, 62019, 10145
16, 90537339, 63264, 9805
17, 78288852, 61314, 9700
18, 78289327, 62789, 10069
19, 79762621, 63939, 9780
20, 68486555, 62294, 9765
21, 68945329, 61578, 9710
22, 76582557, 62644, 9640
23, 68194130, 63329, 9740
24, 69240113, 62529, 9769
25, 71087995, 96798, 10355
26, 71936769, 61613, 9380
27, 69183371, 66348, 10255
28, 69922314, 63264, 9575
29, 68666966, 62183, 9819
30, 68542453, 63469, 10325
31, 68628501, 60764, 9334
32, 67075419, 59309, 9445
33, 67257994, 59904, 9400
34, 67153147, 59724, 9690
35, 67197461, 60179, 9459
36, 67000856, 59754, 9610
37, 67211581, 59454, 9274
38, 67072013, 59624, 9460
39, 67779699, 60684, 9520
40, 67093533, 60329, 9759
41, 67263469, 65799, 9800
42, 67122293, 59824, 9510
43, 67281789, 60119, 9265
44, 67132383, 60394, 9434
45, 67233431, 60098, 9505
46, 67090623, 59434, 9550
47, 67219216, 59224, 9364
48, 67088607, 59673, 9720
49, 67229546, 58949, 9395
50, 67086734, 59848, 9539
51, 67223256, 59903, 9390
52, 67139182, 59194, 9264
53, 67282924, 59784, 9315
54, 67117533, 59179, 9134
55, 67217561, 59829, 9559
56, 67139537, 59959, 9390
57, 67254155, 59409, 9769
58, 67117707, 60484, 9415
59, 67270039, 59874, 9110
60, 67085823, 60194, 9379
61, 67202521, 59274, 9415
62, 67168281, 59759, 9425
63, 67290264, 60078, 9390
64, 67088058, 59709, 9359
65, 67223550, 59854, 9435
66, 67152757, 60473, 9460
67, 67370857, 60239, 9435
68, 67120652, 59484, 9360
69, 67412202, 59698, 9375
70, 67113843, 59548, 9589
71, 67305625, 62278, 10205
72, 67395337, 61348, 9509
73, 67282155, 59304, 9720
74, 67094478, 59879, 9220
75, 67251695, 59194, 9280
76, 67116347, 59309, 9575
77, 67292644, 59894, 9235
78, 67110528, 59313, 9285
79, 67221381, 59819, 9360
80, 67070378, 59824, 9235
81, 67219891, 59589, 9590
82, 67082359, 60733, 9755
83, 67276569, 59534, 9260
84, 67241981, 61493, 9635
85, 67307938, 60164, 9615
86, 67106673, 59313, 9324
87, 67354142, 60364, 9610
88, 67158532, 59504, 9355
89, 67335638, 59209, 9440
90, 67307854, 61258, 9860
91, 67271714, 59609, 9490
92, 67115573, 58958, 9210
93, 67329264, 59503, 9255
94, 67179187, 59619, 9599
95, 67307458, 59614, 9254
96, 67106728, 59124, 9435
97, 67302914, 60563, 9550
98, 67111093, 60174, 9455
99, 67329148, 59403, 9754
100, 67160807, 60459, 9720
101, 67347262, 59438, 9520
