Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
1, 584428, 29694, 6350
2, 467076, 28155, 6240
3, 507975, 27494, 6205
4, 463660, 27320, 6060
5, 461775, 27184, 5930
6, 463575, 27685, 6215
7, 462780, 27410, 5890
8, 462586, 27074, 5940
9, 462310, 27800, 6080
10, 506335, 27464, 6130
11, 465785, 28010, 6265
12, 463221, 27584, 6005
13, 462910, 27200, 5905
14, 514924, 27420, 6020
15, 464491, 27464, 5965
16, 462485, 27185, 5904
17, 502554, 27525, 6095
18, 462821, 27245, 5970
19, 463870, 27380, 6074
20, 463031, 27029, 5930
21, 462835, 27070, 5955
22, 462715, 27139, 5980
23, 463875, 28085, 6625
24, 515975, 27554, 6000
25, 463005, 27200, 5935
26, 465940, 28565, 6190
27, 463631, 27059, 5940
28, 462935, 27500, 5925
29, 465096, 27419, 6005
30, 462550, 27180, 5890
31, 462681, 56004, 6205
32, 502300, 27324, 5950
33, 462676, 27090, 5925
34, 462380, 27044, 5884
35, 462616, 26979, 5910
36, 462330, 27005, 5900
37, 462710, 27109, 5935
38, 462356, 27014, 5840
39, 483860, 27154, 5955
40, 525499, 27465, 6070
41, 462841, 27064, 5980
42, 462431, 27094, 5900
43, 462595, 27024, 5890
44, 462410, 27010, 5929
45, 462510, 26999, 5885
46, 495605, 27369, 5955
47, 462775, 27119, 5990
48, 462315, 27045, 5865
49, 462881, 27069, 5895
50, 481680, 27369, 5944
51, 463001, 27069, 5965
52, 462290, 27055, 5865
53, 477111, 27164, 5980
54, 462500, 27065, 5910
55, 463590, 27324, 6000
56, 462295, 26995, 5870
57, 462525, 27050, 5854
58, 463196, 26994, 5900
59, 462376, 27074, 5900
60, 470220, 27154, 5875
61, 462500, 27020, 5925
62, 462125, 27030, 5870
63, 462436, 26984, 5890
64, 462255, 27025, 5875
65, 462775, 27124, 5896
66, 462366, 27054, 5890
67, 483385, 42999, 6045
68, 480090, 27179, 5905
69, 462951, 27054, 5965
70, 462720, 27175, 5935
71, 462910, 27075, 5915
72, 462341, 26989, 5900
73, 462410, 26970, 5945
74, 462640, 27045, 5900
75, 476040, 27205, 5965
76, 520129, 27374, 5980
77, 462656, 27099, 5930
78, 462405, 26975, 5900
79, 479844, 27215, 5950
80, 465270, 27305, 5905
81, 463076, 27064, 5870
82, 476610, 27230, 5969
83, 462666, 27039, 5935
84, 462840, 27040, 6030
85, 462691, 27094, 5870
86, 484220, 27249, 5960
87, 462766, 27109, 5940
88, 462515, 27060, 5934
89, 469485, 27134, 5920
90, 462495, 27165, 5900
91, 463000, 27004, 5915
92, 465481, 27930, 6015
93, 466426, 28809, 6455
94, 465351, 27470, 6065
95, 463246, 26994, 5945
96, 502715, 28354, 6115
97, 466521, 27559, 6090
98, 464975, 27305, 5899
99, 464691, 28209, 6205
100, 463055, 27210, 5895
101, 462926, 27034, 5920
102, 462395, 27090, 5955
103, 498695, 27110, 5960
104, 504784, 27925, 6125
105, 462626, 27104, 5940
106, 462325, 26985, 5865
107, 462760, 27085, 5940
108, 462346, 27049, 5940
109, 462740, 27030, 5950
110, 484290, 27375, 5965
111, 462900, 27044, 5899
112, 461466, 27039, 5880
113, 462435, 27040, 5950
114, 462845, 27120, 5980
115, 462476, 26964, 5855
116, 462375, 26955, 5880
117, 462616, 27069, 5870
118, 485220, 27090, 5954
119, 462736, 27054, 5900
120, 462456, 26994, 5930
121, 462875, 27060, 5915
122, 483390, 27254, 5915
123, 462705, 26965, 5970
124, 462590, 27020, 5930
125, 477015, 27214, 5940
126, 462280, 27110, 5880
127, 462501, 27069, 5895
128, 462431, 27005, 5935
129, 462470, 27074, 5939
130, 462501, 27179, 5925
131, 462780, 26990, 5935
132, 492159, 27280, 6015
133, 465171, 27329, 5880
134, 462771, 27014, 5925
135, 462635, 27034, 5926
136, 462346, 27074, 5880
137, 462521, 27029, 5905
138, 462415, 26995, 5945
139, 473841, 27160, 5915
140, 462815, 43819, 6065
141, 464130, 27270, 6020
142, 462405, 27074, 5885
143, 462636, 26959, 5920
144, 462360, 27030, 5850
145, 462700, 27124, 5905
146, 462591, 27050, 5970
147, 463486, 27524, 5980
148, 465260, 27400, 5985
149, 462951, 27029, 5970
150, 462506, 27254, 5965
151, 493235, 27419, 5945
152, 462516, 27090, 5885
