Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
1, 146871, 16560, 4800
2, 131857, 15470, 4610
3, 131747, 15390, 4595
4, 131822, 15265, 4565
5, 131352, 15165, 4535
6, 132122, 15270, 4564
7, 132327, 15389, 4560
8, 132523, 15430, 4560
9, 132297, 15444, 4564
10, 132623, 15414, 4555
11, 132878, 15404, 4570
12, 131573, 15224, 4560
13, 132383, 15414, 4550
14, 132578, 15349, 4565
15, 132412, 15280, 4540
16, 132362, 15455, 4560
17, 132657, 15395, 4560
18, 132272, 15285, 4540
19, 132582, 15460, 4569
20, 132517, 15400, 4595
21, 132247, 15285, 4554
22, 132182, 15445, 4559
23, 132482, 15375, 4559
24, 132323, 15270, 4554
25, 132117, 15409, 4560
26, 132468, 15350, 4556
27, 132217, 15330, 4564
28, 132243, 15435, 4570
29, 132607, 15379, 4574
30, 132257, 15324, 4549
31, 132278, 15465, 4544
32, 132427, 15425, 4569
33, 132227, 15314, 4550
34, 132253, 15464, 4575
35, 132588, 15364, 4560
36, 132273, 15309, 4560
37, 132293, 15389, 4535
38, 132508, 15374, 4585
39, 132338, 15339, 4580
40, 132207, 15435, 4565
41, 132472, 15350, 4560
42, 132257, 15310, 4535
43, 132192, 15455, 4555
44, 132557, 15390, 4545
45, 132277, 15305, 4540
46, 132247, 15450, 4560
47, 132787, 15335, 4570
48, 132247, 15320, 4560
49, 132262, 15440, 4534
50, 132487, 15395, 4570
51, 132303, 15295, 4535
52, 132268, 15454, 4574
53, 132567, 15364, 4585
54, 132323, 15284, 4540
55, 132083, 15419, 4530
56, 132452, 15340, 4600
57, 132257, 15265, 4555
58, 132232, 15454, 4560
59, 140927, 15565, 4615
60, 132352, 15390, 4550
61, 132317, 15445, 4560
62, 132512, 15420, 4570
63, 132302, 15320, 4555
64, 132172, 15470, 4580
65, 132602, 15445, 4635
66, 132317, 15310, 4535
67, 132252, 15450, 4555
68, 132512, 15405, 4565
69, 132247, 15340, 4530
70, 132267, 15470, 4575
71, 132622, 15360, 4580
72, 132602, 15405, 4564
73, 132787, 15629, 4560
74, 133153, 15955, 4615
75, 132853, 15559, 4555
76, 133037, 15724, 4645
77, 133497, 15605, 4575
78, 133682, 15550, 4595
79, 133243, 15625, 4565
80, 133127, 15515, 4590
81, 133047, 16195, 4545
82, 132787, 15544, 4596
83, 132758, 15699, 4630
84, 133398, 16130, 4560
85, 132372, 15515, 4550
86, 132972, 15645, 4565
87, 133442, 15695, 4589
88, 133127, 15805, 4565
89, 133057, 15500, 4555
90, 133398, 15399, 4575
91, 133032, 15725, 4560
92, 133397, 16000, 4765
93, 132757, 15520, 4570
94, 132587, 15539, 4545
95, 132938, 16059, 4755
96, 132867, 15235, 4540
97, 132812, 15550, 4550
98, 179111, 15625, 4630
99, 133758, 15694, 4694
100, 133378, 15739, 4600
101, 132777, 15465, 4580
102, 132823, 15925, 4570
103, 132647, 15610, 4560
104, 133017, 15820, 4590
105, 132882, 15669, 4544
106, 132123, 15589, 4565
107, 132658, 15659, 4570
108, 132697, 15420, 4575
109, 133098, 15765, 4595
110, 133507, 15630, 4590
111, 133097, 15700, 4540
112, 131767, 15495, 4605
113, 133467, 15770, 4565
114, 132527, 15595, 4556
115, 132803, 15949, 4555
116, 132782, 15479, 4575
117, 170522, 15419, 4605
118, 132922, 15725, 4535
119, 133637, 15580, 4630
120, 133492, 15540, 4554
121, 133237, 16499, 4565
122, 132913, 15410, 4600
123, 132547, 15390, 4590
124, 133057, 16250, 4580
125, 132887, 15385, 4630
126, 132602, 15504, 4554
127, 132888, 15569, 4595
128, 136762, 15950, 4635
129, 133092, 15730, 4564
130, 133213, 15769, 4580
131, 133657, 15560, 4560
132, 132972, 15660, 4555
133, 132697, 15630, 4600
134, 133322, 16270, 4600
135, 132953, 15294, 4575
136, 180862, 15739, 4620
137, 132937, 15655, 4605
138, 132347, 15445, 4570
139, 132652, 15820, 4570
140, 135447, 33674, 4960
141, 150612, 28159, 4869
142, 148252, 25004, 4706
143, 144072, 15585, 4655
144, 132642, 15660, 4660
145, 132412, 15785, 4595
146, 133342, 15965, 4735
147, 132552, 15449, 4566
148, 132443, 15525, 4565
149, 132877, 15399, 4544
150, 132868, 15454, 4555
151, 132798, 15629, 4570
152, 132872, 15405, 4590
153, 132397, 15305, 4560
154, 132207, 15470, 4575
155, 133297, 15455, 4605
156, 132362, 15360, 4600
157, 132212, 15540, 4570
158, 132502, 15385, 4595
159, 132482, 15450, 4579
160, 132397, 15609, 4604
161, 133247, 15434, 4585
162, 132873, 15489, 4640
163, 132307, 15570, 4580
164, 133042, 15645, 4630
165, 132917, 15965, 4570
166, 132682, 15455, 4695
167, 133182, 15869, 4585
168, 133013, 15379, 4590
169, 132917, 15665, 4700
170, 133252, 15500, 4595
171, 133132, 15545, 4600
172, 132882, 15485, 4564
173, 132727, 15459, 4594
174, 183432, 15489, 4760
175, 133057, 15690, 4845
176, 133062, 15475, 4590
177, 132632, 15365, 4580
178, 132312, 15775, 4635
179, 132977, 15445, 4595
180, 132547, 15335, 4594
181, 132533, 15545, 4566
182, 132803, 15514, 4605
183, 132658, 15304, 4560
184, 132303, 15564, 4565
185, 132778, 15459, 4610
186, 132592, 15335, 4605
187, 131717, 15300, 4615
188, 132823, 15519, 4600
189, 133132, 15679, 4610
190, 135852, 16220, 4650
191, 135898, 15874, 4685
192, 136897, 15750, 4800
193, 133943, 50259, 4665
194, 133507, 15710, 4625
195, 134517, 15730, 4620
196, 134792, 16509, 4614
197, 135218, 15770, 4625
