Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
211, 8404211, 41869, 7560
212, 8384072, 41624, 7495
213, 8380607, 41464, 7305
214, 8393111, 41694, 7419
215, 8393611, 41809, 7510
216, 8391552, 41584, 7490
217, 8378401, 41605, 7384
218, 8388087, 41649, 7490
219, 8442915, 46964, 8100
220, 8477290, 45879, 7875
221, 8436195, 44309, 7800
222, 8416051, 41969, 7530
223, 8395792, 41569, 7320
224, 8384336, 41665, 7429
225, 8388682, 41924, 7320
226, 8390131, 41754, 7370
227, 8377862, 41549, 7420
228, 8380337, 41749, 7385
229, 8388126, 42219, 7489
230, 8393192, 41819, 7480
231, 8402942, 41750, 7490
232, 8387737, 41679, 7440
233, 8391816, 41699, 7400
234, 8387622, 41760, 7364
235, 8391872, 42004, 7450
236, 8386176, 41584, 7400
237, 8384952, 41809, 9525
238, 8402922, 41655, 7494
239, 8385572, 41474, 7375
240, 8393991, 41719, 7495
241, 8399446, 41694, 7420
242, 8381077, 41584, 7485
243, 8399952, 41714, 7255
244, 8393472, 41624, 7545
245, 8389236, 41619, 7385
246, 8386042, 41409, 7395
247, 8394191, 41639, 7420
248, 8391246, 41804, 7305
249, 8396206, 41989, 7364
250, 8392837, 41584, 7240
251, 8392957, 41994, 7700
252, 8385591, 41654, 7360
253, 8396452, 42059, 7395
254, 8395882, 41775, 7499
255, 8400327, 41644, 7465
256, 8380357, 41624, 7350
257, 8389811, 41823, 7759
258, 8395951, 42670, 7615
259, 8391261, 41594, 7520
260, 8385917, 41659, 7425
261, 8385956, 42034, 7505
262, 8398371, 41754, 7320
263, 8392541, 42009, 7490
264, 8389197, 41619, 7415
265, 8386957, 41639, 7405
266, 8524439, 46465, 8180
267, 8590352, 44089, 7965
268, 8413910, 42099, 7600
269, 8414161, 41679, 7385
270, 8389756, 42024, 7525
271, 8388072, 41859, 7355
272, 8386711, 41575, 7474
273, 8376022, 41879, 7450
274, 8397676, 41639, 7425
275, 8380072, 41674, 7335
276, 8386892, 42469, 7620
277, 8402691, 41909, 7510
278, 8411856, 41739, 7430
279, 8389312, 41704, 7420
280, 8384696, 41560, 7514
281, 8397742, 42074, 7470
282, 8412691, 41839, 7465
283, 8389747, 41814, 7550
284, 8378916, 41514, 7405
285, 8397731, 41904, 7634
286, 8393176, 41660, 7359
287, 8394552, 41769, 7455
288, 8397051, 41704, 7450
289, 8396636, 41604, 7390
290, 8401306, 41830, 7369
291, 8390871, 41800, 7489
292, 8390677, 41724, 7380
293, 8385302, 41574, 7450
294, 8388881, 41795, 7434
295, 8386692, 41684, 7445
296, 8372381, 41525, 7444
297, 8412701, 41795, 7484
298, 8396161, 41679, 7430
299, 8382357, 41519, 7430
300, 8394201, 41979, 7430
301, 8382587, 41789, 7424
302, 8383852, 41964, 7345
303, 8385806, 41664, 7400
304, 8396681, 41673, 7556
305, 8384867, 41725, 7350
306, 8389452, 41689, 7395
307, 8379881, 41449, 7360
308, 8387072, 41509, 7350
309, 8390177, 41849, 7419
310, 8372487, 41509, 7460
311, 8401561, 42304, 7585
312, 8383191, 41744, 7510
313, 8392057, 41834, 7400
