Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
1, 67803, 14895, 6235
2, 44094, 13225, 6055
3, 44014, 13094, 5994
4, 44094, 13015, 5935
5, 44000, 13259, 5850
6, 44134, 13050, 5935
7, 43885, 13314, 5940
8, 46125, 13930, 6165
9, 79698, 14835, 6134
10, 44954, 12980, 6010
11, 43905, 13379, 5940
12, 43839, 13110, 5865
13, 43634, 12915, 5890
14, 43649, 13135, 5904
15, 44019, 13350, 5905
16, 43909, 13054, 5950
17, 43814, 12970, 5840
18, 43745, 13124, 5910
19, 43964, 13025, 5935
20, 43533, 12904, 5895
21, 255905, 14284, 6115
22, 44369, 13355, 5880
23, 43939, 13235, 5889
24, 44079, 13340, 5930
25, 43864, 13050, 6079
26, 43804, 13135, 5830
27, 43589, 13044, 5940
28, 44104, 13425, 5895
29, 44289, 13430, 5975
30, 43974, 13145, 5999
31, 43789, 13150, 5905
32, 43969, 13109, 5880
33, 43869, 12955, 5894
34, 43654, 13240, 5850
35, 43974, 13020, 5829
36, 44304, 13480, 5910
37, 43944, 12995, 5875
38, 43719, 13035, 5860
39, 81558, 13335, 6000
40, 35409, 10475, 4740
41, 35069, 10345, 4700
42, 35064, 10265, 4695
43, 34914, 10340, 4725
44, 35089, 10380, 4680
45, 35124, 10435, 4735
46, 35254, 10700, 4670
47, 35354, 10704, 4734
48, 35515, 10809, 4700
49, 35139, 10894, 4800
50, 35004, 10600, 4715
51, 34989, 10370, 4675
52, 35069, 10340, 4660
53, 35049, 10465, 4700
54, 34694, 10365, 4665
55, 34789, 10360, 4695
56, 35174, 10550, 4725
57, 34984, 10510, 4700
58, 34909, 10620, 4800
59, 34979, 10625, 4625
60, 35004, 10490, 4690
61, 35239, 10525, 4750
62, 35489, 10975, 4710
63, 34760, 10480, 4644
64, 34930, 10370, 4719
65, 35109, 11445, 4715
66, 35244, 10335, 4700
67, 34819, 10355, 4625
68, 35019, 10325, 4685
69, 35094, 10345, 4685
70, 34989, 10325, 4695
71, 34829, 10325, 4670
72, 35019, 10275, 4705
73, 34949, 10370, 4695
74, 34879, 10360, 4690
75, 34824, 10255, 4649
76, 34979, 10545, 4690
77, 34915, 10285, 4699
78, 34905, 10370, 4700
79, 35184, 10380, 4640
80, 35239, 10465, 4699
81, 92929, 10629, 4794
82, 90373, 10645, 4720
83, 35189, 10350, 4685
84, 34859, 10340, 4700
85, 35014, 10390, 4715
86, 34919, 10365, 4700
87, 34864, 10405, 4690
88, 35134, 10335, 4710
89, 35024, 10385, 4755
90, 35029, 10495, 4720
91, 34944, 10330, 4685
92, 34914, 10385, 4705
93, 35154, 10555, 4705
94, 34759, 10350, 4710
95, 34774, 10315, 4655
96, 35069, 10305, 4695
97, 34939, 10380, 4645
98, 34779, 10305, 4670
99, 34774, 10345, 4670
100, 34779, 10340, 4715
101, 34929, 10345, 4665
102, 34729, 10305, 4670
103, 34884, 10300, 4670
104, 34919, 10425, 4690
105, 34819, 10305, 4720
106, 34694, 10350, 4650
107, 100573, 10625, 4680
108, 35114, 10405, 4709
109, 69413, 10845, 4670
110, 34854, 10530, 4670
111, 34874, 10355, 4710
112, 34959, 10345, 4700
113, 34924, 10375, 4675
114, 34959, 10325, 4720
115, 34809, 10330, 4640
116, 35044, 10440, 4685
117, 79953, 10700, 4690
118, 34794, 10575, 4640
119, 34899, 10385, 4685
120, 35239, 10355, 4750
121, 35044, 10390, 4710
122, 35039, 10425, 4760
123, 34929, 10375, 4690
124, 35184, 10415, 4695
125, 35084, 10445, 4715
126, 35025, 10415, 4774
127, 34915, 10515, 4716
128, 35179, 10885, 4690
129, 700881, 11965, 5020
130, 36114, 10635, 4755
131, 35109, 10360, 4740
132, 34969, 10355, 4715
133, 34984, 10310, 4740
134, 34859, 10340, 4750
135, 34809, 10245, 4755
136, 34954, 10325, 4725
137, 34759, 10290, 4750
138, 34669, 10320, 4755
139, 34819, 10315, 4750
140, 34944, 10270, 4720
141, 46584, 11095, 4829
142, 34864, 10305, 4690
143, 34914, 10310, 4664
144, 35014, 10390, 4670
145, 34814, 10335, 4689
146, 34820, 10305, 4670
147, 34869, 10330, 4714
148, 34864, 10330, 4685
149, 34690, 10330, 4714
150, 80513, 10920, 4770
151, 35079, 10455, 4714
152, 35020, 10455, 4700
153, 34829, 10350, 4690
154, 35005, 10400, 4674
155, 34939, 10345, 4730
156, 34885, 10334, 4730
157, 34685, 10254, 4700
158, 34800, 10449, 4674
159, 34974, 10340, 4719
160, 34935, 10365, 4744
161, 34625, 10410, 4689
162, 34885, 10304, 4695
163, 34955, 10379, 4720
164, 34860, 10344, 4654
165, 34930, 10324, 4724
166, 34850, 10309, 4694
167, 34865, 10340, 4664
168, 35185, 10374, 4655
169, 34635, 10310, 4659
170, 35274, 10365, 4700
171, 34940, 10420, 4715
172, 34969, 10300, 4725
173, 34814, 10409, 4725
174, 34820, 10260, 4700
175, 34920, 10370, 4710
176, 34880, 10420, 4705
177, 35009, 10370, 4640
178, 35089, 10475, 4700
179, 35229, 10590, 4715
180, 35059, 10480, 4715
181, 34724, 10350, 4705
182, 34814, 10365, 4695
183, 34884, 10355, 4710
184, 34914, 10355, 4705
185, 34704, 10360, 4670
186, 34809, 10345, 4685
187, 34844, 10385, 4705
188, 34869, 10405, 4715
189, 34889, 10310, 4695
190, 34725, 10280, 4680
191, 48519, 10665, 4840
192, 34964, 10390, 4640
193, 34709, 10320, 4675
194, 34849, 10300, 4665
195, 34839, 10325, 4705
196, 34894, 10285, 4705
197, 34679, 10305, 4685
198, 34794, 10320, 4695
199, 34934, 10330, 4720
200, 34869, 10330, 4720
201, 34794, 10290, 4675
202, 34784, 10345, 4690
203, 34794, 10315, 4715
204, 34929, 10350, 4735
205, 34669, 10305, 4715
206, 34804, 10350, 4680
207, 34959, 10425, 4755
208, 34799, 10325, 4735
209, 34884, 10335, 4705
210, 34789, 10310, 4690
211, 34864, 10380, 4710
212, 34939, 10310, 4710
213, 34834, 10275, 4710
214, 34719, 10315, 4685
215, 34954, 10420, 4730
216, 35049, 10405, 4710
217, 34789, 10330, 4705
218, 34679, 10335, 4685
219, 34854, 10280, 4720
220, 34954, 10310, 4730
221, 34734, 10315, 4710
222, 36424, 11040, 4815
223, 35284, 10405, 4690
224, 34990, 10300, 4734
225, 34784, 10285, 4664
226, 34719, 10270, 4665
227, 34819, 10335, 4634
228, 55499, 10720, 4680
229, 37085, 7630, 3480
230, 25774, 7635, 3450
231, 25794, 7659, 3495
232, 25854, 7640, 3480
233, 25685, 7690, 3480
234, 25670, 7640, 3480
235, 25799, 7689, 3490
236, 25884, 7615, 3485
237, 25690, 7625, 3464
238, 25614, 7655, 3455
239, 25795, 7674, 3484
240, 25919, 7680, 3485
241, 26460, 7995, 3559
242, 26259, 38409, 3705
243, 53334, 8280, 3510
244, 53519, 7899, 3490
245, 123012, 8235, 3455
246, 53085, 7995, 31730
247, 53323, 8014, 3520
248, 136777, 7930, 46264
249, 54104, 7895, 3470
250, 73018, 7870, 3445
251, 106418, 33624, 3820
252, 26570, 35184, 3680
253, 207441, 7905, 45899
254, 93213, 8050, 3515
255, 53089, 7985, 132373
256, 96558, 103293, 3990
257, 52958, 8140, 4220
258, 53384, 8160, 3605
259, 53119, 8710, 3625
260, 135357, 7815, 3515
261, 53129, 33839, 3620
262, 170446, 7955, 3500
263, 26034, 7664, 3455
264, 25990, 7630, 3485
265, 25765, 7590, 3415
266, 25794, 7665, 3470
267, 25784, 7620, 3449
268, 25754, 7645, 3475
269, 25855, 7589, 3455
270, 25874, 7590, 3460
271, 25805, 7719, 3446
272, 25789, 7625, 3470
273, 25785, 7624, 3460
274, 25789, 7595, 3460
275, 25700, 7639, 3470
276, 25784, 7640, 3435
277, 25845, 7635, 3470
278, 25814, 7660, 3450
279, 25880, 7685, 3460
280, 25939, 7770, 3460
281, 26025, 7675, 3484
282, 26014, 7660, 3500
283, 25860, 7700, 3480
284, 25754, 7620, 3460
285, 25680, 7625, 3495
286, 25774, 7620, 3460
287, 25909, 7650, 3500
288, 25849, 7730, 3520
289, 25820, 7655, 3520
290, 25834, 7625, 3445
291, 25990, 7715, 3455
292, 25949, 7655, 3475
293, 26029, 7625, 3435
294, 26465, 7705, 3470
295, 26044, 7715, 3430
296, 25870, 7724, 3429
297, 25859, 7725, 3435
298, 25860, 7734, 3454
299, 26074, 7730, 3445
300, 26020, 7700, 3464
301, 25914, 7615, 3490
302, 25895, 7750, 3484
303, 26009, 7695, 3470
304, 25945, 7640, 3490
305, 25869, 7695, 3475
306, 26080, 7670, 3494
307, 26004, 7680, 3435
308, 66064, 7930, 3555
309, 25989, 7680, 3495
310, 25890, 7660, 3525
311, 25954, 7615, 3540
312, 26030, 7710, 3470
313, 25949, 7680, 3465
314, 25960, 7725, 3455
315, 25959, 7705, 3460
316, 25855, 7725, 3469
317, 25949, 7620, 3450
318, 26100, 7685, 3524
319, 25969, 7650, 3465
320, 25790, 7675, 3465
321, 25954, 7675, 3510
322, 25919, 7680, 3465
323, 26079, 7665, 3495
324, 26020, 7655, 3455
325, 25874, 7764, 3465
326, 25925, 7700, 3450
327, 26245, 7680, 3495
328, 26075, 7685, 3520
329, 198226, 8365, 3579
330, 26255, 7660, 3510
331, 26709, 7915, 3495
332, 26049, 7640, 3460
333, 25884, 7665, 3475
334, 25930, 7634, 3469
335, 25959, 7645, 3470
336, 25815, 7669, 3490
337, 25874, 7695, 3485
338, 26130, 7715, 3445
339, 25929, 7700, 3455
340, 25725, 7684, 3549
341, 25909, 7635, 3470
342, 25915, 7594, 3465
343, 25989, 7700, 3510
344, 25810, 7629, 3530
345, 26694, 7695, 3495
346, 25959, 7685, 3485
347, 25940, 7689, 3490
348, 25874, 7690, 3485
349, 25960, 7675, 3450
350, 26104, 7670, 3470
351, 26004, 7730, 3485
352, 25919, 7645, 3490
353, 25899, 7710, 3429
354, 26104, 7635, 3480
355, 26050, 7755, 3444
356, 25899, 7625, 3450
357, 25855, 7729, 3516
358, 26059, 7640, 3510
359, 25985, 7664, 3420
360, 25854, 7720, 3485
361, 25780, 7740, 3414
362, 25959, 7665, 3480
363, 25915, 7725, 3464
364, 26054, 7635, 3505
365, 25800, 7614, 3464
366, 25969, 7695, 3470
367, 25850, 7669, 3500
368, 26034, 7675, 3490
369, 25885, 7665, 3486
370, 26009, 7720, 3495
371, 26020, 7764, 3484
372, 25864, 7660, 3445
373, 25930, 7715, 3490
374, 26034, 7670, 3500
375, 25925, 7670, 3464
376, 25899, 7635, 3490
377, 25930, 7625, 3494
378, 25944, 7615, 3510
379, 25885, 7680, 3490
380, 25879, 7660, 3480
381, 25910, 7650, 3435
382, 25934, 7655, 3455
383, 26004, 7665, 3490
384, 26204, 7665, 3515
385, 25950, 7630, 3485
386, 25989, 7660, 3440
387, 25999, 7720, 3490
388, 25984, 7690, 3490
389, 25940, 7630, 3445
390, 25809, 7755, 3470
391, 26025, 7705, 3440
392, 25904, 7634, 3525
393, 25850, 7740, 3460
394, 25994, 7615, 3440
395, 25914, 7665, 3535
396, 25944, 7755, 3460
397, 25959, 7730, 3425
398, 319033, 8535, 3705
